,,,,,,,,Producer/Merchant/Processor/User - All - Long ,Producer/Merchant/Processor/User - All - Short,Swap Dealers – All - Long,Swap Dealers – All – Short,,Managed Money - All - Long,Managed Money - All - Short,,Other Reportables - All - Long,Other Reportables - All - Short,,,,Nonreportable Positions – Long,Nonreportable Positions – Short,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PJM N. IL HUB RT PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BT,IFED,1,64,49390,31810,40827,11618,694,3992,400,2250,0,845,990,178,48843,48931,547,459,49390,31810,40827,11618,694,3992,400,2250,0,845,990,178,48843,48931,547,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,-120,964,190,-954,918,-120,0,0,-39,-35,0,829,893,160,96,100,64.4,82.7,23.5,1.4,8.1,0.8,4.6,0,1.7,2,0.4,98.9,99.1,1.1,0.9,100,64.4,82.7,23.5,1.4,8.1,0.8,4.6,0,1.7,2,0.4,98.9,99.1,1.1,0.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,16,.,.,5,.,.,0,.,.,.,27,27,32,17,16,.,.,5,.,.,0,.,.,.,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.4,69,78.7,86.9,53.2,62.7,71,70.3,54.4,69,78.7,86.9,53.2,62.7,71,70.3,0,0,0,0,0,0,0,0,800 MWh,0643BT,IFED,64,N16,FutOnly
NYISO ZONE J DA PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BW,IFED,1,64,18204,9154,14514,7456,631,770,0,1410,0,125,766,0,17505,18091,699,113,18204,9154,14514,7456,631,770,0,1410,0,125,766,0,17505,18091,699,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,-108,30,-35,-50,50,0,0,0,-50,0,0,-143,30,218,45,100,50.3,79.7,41,3.5,4.2,0,7.7,0,0.7,4.2,0,96.2,99.4,3.8,0.6,100,50.3,79.7,41,3.5,4.2,0,7.7,0,0.7,4.2,0,96.2,99.4,3.8,0.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,10,4,.,.,0,.,0,.,.,0,18,15,25,9,10,4,.,.,0,.,0,.,.,0,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9,63.8,82.8,86.4,60.7,61.8,78,83.8,61.9,63.8,82.8,86.4,60.7,61.8,78,83.8,0,0,0,0,0,0,0,0,800MWh,0643BW,IFED,64,N16,FutOnly
NYISO ZONE J DA OFF-PK FIXED - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BX,IFED,1,64,16444,8007,13579,6736,890,892,0,300,0,50,675,0,15685,16336,759,108,16444,8007,13579,6736,890,892,0,300,0,50,675,0,15685,16336,759,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-120,45,0,-50,50,0,0,0,0,-5,0,-70,40,170,60,100,48.7,82.6,41,5.4,5.4,0,1.8,0,0.3,4.1,0,95.4,99.3,4.6,0.7,100,48.7,82.6,41,5.4,5.4,0,1.8,0,0.3,4.1,0,95.4,99.3,4.6,0.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,8,4,.,.,0,.,0,.,.,0,14,14,22,8,8,4,.,.,0,.,0,.,.,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.7,68.9,85.5,89.9,60.2,66.4,80.7,85.4,63.7,68.9,85.5,89.9,60.2,66.4,80.7,85.4,0,0,0,0,0,0,0,0,(1 MW for about 368 Hours),0643BX,IFED,64,N16,FutOnly
NYISO ZONE A DA PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BY,IFED,1,64,25568,20184,17305,2496,7122,492,426,40,40,981,44,142,24761,25185,807,383,25568,20184,17305,2496,7122,492,426,40,40,981,44,142,24761,25185,807,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,671,228,-550,159,310,0,0,0,0,10,0,431,707,266,-10,100,78.9,67.7,9.8,27.9,1.9,1.7,0.2,0.2,3.8,0.2,0.6,96.8,98.5,3.2,1.5,100,78.9,67.7,9.8,27.9,1.9,1.7,0.2,0.2,3.8,0.2,0.6,96.8,98.5,3.2,1.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,12,.,4,4,.,.,.,.,.,.,22,22,28,13,12,.,4,4,.,.,.,.,.,.,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.3,71.8,84.8,91.4,66,71.4,82.1,89.7,68.3,71.8,84.8,91.4,66,71.4,82.1,89.7,0,0,0,0,0,0,0,0,800MWh,0643BY,IFED,64,N16,FutOnly
NYISO ZONE A DA OFF-PK FIX PR - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643BZ,IFED,1,64,16675,13419,14311,1837,1702,108,0,0,0,488,15,135,15987,16271,688,404,16675,13419,14311,1837,1702,108,0,0,0,488,15,135,15987,16271,688,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,-104,-49,0,0,38,0,0,0,0,-55,55,-11,-11,0,0,100,80.5,85.8,11,10.2,0.6,0,0,0,2.9,0.1,0.8,95.9,97.6,4.1,2.4,100,80.5,85.8,11,10.2,0.6,0,0,0,2.9,0.1,0.8,95.9,97.6,4.1,2.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,11,.,.,.,0,0,0,.,.,.,19,15,23,13,11,.,.,.,0,0,0,.,.,.,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.3,84,82.5,94.9,59.5,78.7,71.8,80.5,66.3,84,82.5,94.9,59.5,78.7,71.8,80.5,0,0,0,0,0,0,0,0,(1MW for about 368 Hours),0643BZ,IFED,64,N16,FutOnly
NYISO ZONE G DA PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643C3,IFED,1,64,39702,23382,20519,9294,11315,1855,1300,4573,50,2449,370,720,39050,39402,652,300,39702,23382,20519,9294,11315,1855,1300,4573,50,2449,370,720,39050,39402,652,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,-63,1097,744,0,23,0,50,0,68,-245,5,777,930,203,50,100,58.9,51.7,23.4,28.5,4.7,3.3,11.5,0.1,6.2,0.9,1.8,98.4,99.2,1.6,0.8,100,58.9,51.7,23.4,28.5,4.7,3.3,11.5,0.1,6.2,0.9,1.8,98.4,99.2,1.6,0.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,22,19,4,.,6,.,.,.,5,.,.,38,32,45,22,19,4,.,6,.,.,.,5,.,.,38,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,67.4,62.5,81.2,41.7,61.2,57.7,68.6,43.5,67.4,62.5,81.2,41.7,61.2,57.7,68.6,0,0,0,0,0,0,0,0,800MWh,0643C3,IFED,64,N16,FutOnly
NYISO ZONE G DA OFF-PK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643C4,IFED,1,64,22842,16202,9006,2480,8838,1597,400,2675,0,1309,0,561,22549,22677,293,165,22842,16202,9006,2480,8838,1597,400,2675,0,1309,0,561,22549,22677,293,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,296,405,-25,0,0,0,0,0,49,0,-10,310,395,85,0,100,70.9,39.4,10.9,38.7,7,1.8,11.7,0,5.7,0,2.5,98.7,99.3,1.3,0.7,100,70.9,39.4,10.9,38.7,7,1.8,11.7,0,5.7,0,2.5,98.7,99.3,1.3,0.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,14,.,.,6,.,.,0,4,0,.,29,24,33,18,14,.,.,6,.,.,0,4,0,.,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1,60.8,67.3,80.6,36.5,54.6,48.7,64.4,46.1,60.8,67.3,80.6,36.5,54.6,48.7,64.4,0,0,0,0,0,0,0,0,(1MW for about 368 Hours),0643C4,IFED,64,N16,FutOnly
PALO VERDE DA PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643CB,IFED,1,64,15318,5109,14636,7493,0,285,126,0,205,1912,55,90,15220,15271,98,47,15318,5109,14636,7493,0,285,126,0,205,1912,55,90,15220,15271,98,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-703,-339,-541,-801,0,-73,75,0,-76,455,30,19,-740,-641,37,-62,100,33.4,95.5,48.9,0,1.9,0.8,0,1.3,12.5,0.4,0.6,99.4,99.7,0.6,0.3,100,33.4,95.5,48.9,0,1.9,0.8,0,1.3,12.5,0.4,0.6,99.4,99.7,0.6,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,10,4,0,.,.,0,.,.,.,.,22,17,26,13,10,4,0,.,.,0,.,.,.,.,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,90.5,82.7,96.2,58.2,84.7,78.9,87.5,60.5,90.5,82.7,96.2,58.2,84.7,78.9,87.5,0,0,0,0,0,0,0,0,400MWh,0643CB,IFED,64,N16,FutOnly
PJM PECO ZONE DA PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643CZ,IFED,1,64,13880,3881,6335,7527,4800,1745,60,0,40,320,180,100,13673,13200,207,680,13880,3881,6335,7527,4800,1745,60,0,40,320,180,100,13673,13200,207,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30,-37,-250,-50,-400,0,20,0,0,0,0,0,-67,-650,37,620,100,28,45.6,54.2,34.6,12.6,0.4,0,0.3,2.3,1.3,0.7,98.5,95.1,1.5,4.9,100,28,45.6,54.2,34.6,12.6,0.4,0,0.3,2.3,1.3,0.7,98.5,95.1,1.5,4.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,8,5,.,4,.,0,.,.,.,.,16,16,22,9,8,5,.,4,.,0,.,.,.,.,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,77.8,87.3,88.6,63.2,72.5,77.4,78.1,71,77.8,87.3,88.6,63.2,72.5,77.4,78.1,0,0,0,0,0,0,0,0,1 MW,0643CZ,IFED,64,N16,FutOnly
"PJM PPL ZONE DAY AHEAD, OFF-PEAK MONTHLY - ICE FUTURES ENERGY DIV",210803,2021-08-03,0643D7,IFED,1,64,50175,18207,43890,25555,3260,2110,600,0,0,2420,0,740,49632,50000,543,175,50175,18207,43890,25555,3260,2110,600,0,0,2420,0,740,49632,50000,543,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,-45,395,250,-300,-60,0,0,0,0,0,0,145,35,45,155,100,36.3,87.5,50.9,6.5,4.2,1.2,0,0,4.8,0,1.5,98.9,99.7,1.1,0.3,100,36.3,87.5,50.9,6.5,4.2,1.2,0,0,4.8,0,1.5,98.9,99.7,1.1,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,14,5,.,.,.,0,0,.,0,.,22,19,28,14,14,5,.,.,.,0,0,.,0,.,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.8,77,86.6,90.7,70.4,77,80.3,85.9,74.8,77,86.6,90.7,70.4,77,80.3,85.9,0,0,0,0,0,0,0,0,1 MW,0643D7,IFED,64,N16,FutOnly
PJM PPL ZONE DA PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643D8,IFED,1,64,53915,19677,47890,28245,3270,1765,0,20,80,2330,0,710,52807,53735,1108,180,53915,19677,47890,28245,3270,1765,0,20,80,2330,0,710,52807,53735,1108,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,-70,770,10,-300,40,0,0,0,0,0,0,-20,510,710,180,100,36.5,88.8,52.4,6.1,3.3,0,0,0.1,4.3,0,1.3,97.9,99.7,2.1,0.3,100,36.5,88.8,52.4,6.1,3.3,0,0,0.1,4.3,0,1.3,97.9,99.7,2.1,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,15,5,.,.,0,.,.,.,0,.,22,21,29,14,15,5,.,.,0,.,.,.,0,.,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.8,79.5,86.8,91,70.8,79.5,81.2,87.7,73.8,79.5,86.8,91,70.8,79.5,81.2,87.7,0,0,0,0,0,0,0,0,1 MW,0643D8,IFED,64,N16,FutOnly
PJM WESTERN HUB DA OFF-PK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643DB,IFED,1,64,111331,77478,84633,17761,8523,11009,235,387,910,1313,1947,1216,109922,108625,1409,2706,111331,77478,84633,17761,8523,11009,235,387,910,1313,1947,1216,109922,108625,1409,2706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2636,-3486,-1800,1208,-1783,-1415,0,0,0,-30,60,5,-3718,-4933,1082,2297,100,69.6,76,16,7.7,9.9,0.2,0.3,0.8,1.2,1.7,1.1,98.7,97.6,1.3,2.4,100,69.6,76,16,7.7,9.9,0.2,0.3,0.8,1.2,1.7,1.1,98.7,97.6,1.3,2.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,28,24,4,4,5,.,.,4,.,.,.,45,38,53,28,24,4,4,5,.,.,4,.,.,.,45,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3,55.5,65.9,71.3,46.5,48.7,58.8,59.9,48.3,55.5,65.9,71.3,46.5,48.7,58.8,59.9,0,0,0,0,0,0,0,0,1 MW,0643DB,IFED,64,N16,FutOnly
PJM WESTERN HUB DA PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643DC,IFED,1,64,128477,92053,94543,13461,8880,16609,249,1015,915,1745,1167,2044,127076,125173,1401,3304,128477,92053,94543,13461,8880,16609,249,1015,915,1745,1167,2044,127076,125173,1401,3304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,585,-2150,-1507,-443,416,0,-15,15,25,47,-25,-491,-2155,1174,2838,100,71.6,73.6,10.5,6.9,12.9,0.2,0.8,0.7,1.4,0.9,1.6,98.9,97.4,1.1,2.6,100,71.6,73.6,10.5,6.9,12.9,0.2,0.8,0.7,1.4,0.9,1.6,98.9,97.4,1.1,2.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,32,27,.,6,6,.,.,.,4,7,6,53,45,62,32,27,.,6,6,.,.,.,4,7,6,53,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.6,53.3,59.4,70,38.5,44.6,50.9,54.6,42.6,53.3,59.4,70,38.5,44.6,50.9,54.6,0,0,0,0,0,0,0,0,352 MWh,0643DC,IFED,64,N16,FutOnly
PJM WESTERN HUB RT PEAK MINI - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643DF,IFED,1,64,340199,238015,255443,1715,19205,36225,24331,1049,9579,16543,4339,12635,339043,338475,1156,1724,340199,238015,255443,1715,19205,36225,24331,1049,9579,16543,4339,12635,339043,338475,1156,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11547,11845,5374,-3525,4668,1855,-765,-305,408,1959,-864,-926,10851,10210,696,1337,100,70,75.1,0.5,5.6,10.6,7.2,0.3,2.8,4.9,1.3,3.7,99.7,99.5,0.3,0.5,100,70,75.1,0.5,5.6,10.6,7.2,0.3,2.8,4.9,1.3,3.7,99.7,99.5,0.3,0.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,43,42,.,6,8,17,5,12,17,5,15,92,81,99,43,42,.,6,8,17,5,12,17,5,15,92,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42.2,57.9,62.1,11.8,17.2,17.3,24.5,42,42.2,57.9,62.1,11.8,17.2,17.3,24.5,0,0,0,0,0,0,0,0,1 MW,0643DF,IFED,64,N16,FutOnly
PJM PSEG DAY-AHEAD PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643DL,IFED,1,64,15275,8715,10610,2030,3270,1170,960,0,0,1510,0,0,14385,15050,890,225,15275,8715,10610,2030,3270,1170,960,0,0,1510,0,0,14385,15050,890,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-450,-685,-60,25,-555,55,0,0,0,0,0,0,-605,-560,155,110,100,57.1,69.5,13.3,21.4,7.7,6.3,0,0,9.9,0,0,94.2,98.5,5.8,1.5,100,57.1,69.5,13.3,21.4,7.7,6.3,0,0,9.9,0,0,94.2,98.5,5.8,1.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,7,.,.,4,.,0,0,.,0,0,18,11,23,9,7,.,.,4,.,0,0,.,0,0,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.2,84.1,82.9,97.3,49,77.8,72.2,83.7,56.2,84.1,82.9,97.3,49,77.8,72.2,83.7,0,0,0,0,0,0,0,0,1 MW,0643DL,IFED,64,N16,FutOnly
PJM PSEG ZONE DAY-AHEAD OFF-PEAK - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643DM,IFED,1,64,12775,6850,7880,2060,2630,1430,260,600,0,1175,0,0,11775,12540,1000,235,12775,6850,7880,2060,2630,1430,260,600,0,1175,0,0,11775,12540,1000,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-450,-725,-60,105,-500,70,0,0,0,0,0,0,-550,-490,100,40,100,53.6,61.7,16.1,20.6,11.2,2,4.7,0,9.2,0,0,92.2,98.2,7.8,1.8,100,53.6,61.7,16.1,20.6,11.2,2,4.7,0,9.2,0,0,92.2,98.2,7.8,1.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,8,.,.,4,.,.,0,.,0,0,15,13,21,9,8,.,.,4,.,.,0,.,0,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,80.8,84.9,95.4,48.8,69,69.7,79.3,56.7,80.8,84.9,95.4,48.8,69,69.7,79.3,0,0,0,0,0,0,0,0,1 MW,0643DM,IFED,64,N16,FutOnly
ERCOT N 345KV REAL T PK DALY M - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643IB,IFED,1,64,17610,15245,11415,0,3135,275,0,190,660,560,1060,525,17265,17260,345,350,17610,15245,11415,0,3135,275,0,190,660,560,1060,525,17265,17260,345,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1345,-875,-550,0,-195,55,0,-605,145,-330,-220,220,-785,-1150,-560,-195,100,86.6,64.8,0,17.8,1.6,0,1.1,3.7,3.2,6,3,98,98,2,2,100,86.6,64.8,0,17.8,1.6,0,1.1,3.7,3.2,6,3,98,98,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,14,0,.,.,0,.,.,4,6,8,31,28,36,17,14,0,.,.,0,.,.,4,6,8,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.9,60.9,83,79.6,69.6,59.9,75.4,73.2,74.9,60.9,83,79.6,69.6,59.9,75.4,73.2,0,0,0,0,0,0,0,0,16 MWh,0643IB,IFED,64,N16,FutOnly
ERCOT N 345KV REAL T PK 2x16 - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643ID,IFED,1,64,32680,25196,23616,3824,2887,2640,400,0,0,290,3255,260,32610,32658,70,22,32680,25196,23616,3824,2887,2640,400,0,0,290,3255,260,32610,32658,70,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,1500,1600,0,0,0,200,0,0,0,100,0,1700,1700,0,0,100,77.1,72.3,11.7,8.8,8.1,1.2,0,0,0.9,10,0.8,99.8,99.9,0.2,0.1,100,77.1,72.3,11.7,8.8,8.1,1.2,0,0,0.9,10,0.8,99.8,99.9,0.2,0.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,21,18,.,.,5,.,0,0,.,.,.,31,28,37,21,18,.,.,5,.,0,0,.,.,.,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.3,62.2,81.1,79.3,62.1,52.2,68.6,66.9,66.3,62.2,81.1,79.3,62.1,52.2,68.6,66.9,0,0,0,0,0,0,0,0,(1MW for about 352 Hours),0643ID,IFED,64,N16,FutOnly
ERCOT North 345KV Hub RT 7x8 - ICE FUTURES ENERGY DIV,210803,2021-08-03,0643IK,IFED,1,64,25520,15565,18350,3605,4440,2550,2200,0,0,1600,0,0,25520,25340,0,180,25520,15565,18350,3605,4440,2550,2200,0,0,1600,0,0,25520,25340,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,420,380,180,400,0,200,0,0,400,0,0,1200,780,-420,0,100,61,71.9,14.1,17.4,10,8.6,0,0,6.3,0,0,100,99.3,0,0.7,100,61,71.9,14.1,17.4,10,8.6,0,0,6.3,0,0,100,99.3,0,0.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,19,14,.,.,.,.,0,0,.,0,0,26,18,31,19,14,.,.,.,.,0,0,.,0,0,26,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8,52.4,81.1,85.1,41.9,43.5,58.1,58.6,52.8,52.4,81.1,85.1,41.9,43.5,58.1,58.6,0,0,0,0,0,0,0,0,(1MW for about 352 Hours),0643IK,IFED,64,N16,FutOnly
ISONE..H.INTERNAL_HUB_month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064AAA,NODX,1,64,88482,66338,58479,11650,17454,1509,0,4491,300,2475,0,0,82272,82233,6210,6249,88482,66338,58479,11650,17454,1509,0,4491,300,2475,0,0,82272,82233,6210,6249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,780,955,175,0,0,0,0,0,0,0,0,955,955,0,0,100,75,66.1,13.2,19.7,1.7,0,5.1,0.3,2.8,0,0,93,92.9,7,7.1,100,75,66.1,13.2,19.7,1.7,0,5.1,0.3,2.8,0,0,93,92.9,7,7.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,13,.,4,.,0,.,.,.,0,0,20,19,26,14,13,.,4,.,0,.,.,.,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,67.6,85.2,84.7,71.5,67.2,80.1,78.6,74.7,67.6,85.2,84.7,71.5,67.2,80.1,78.6,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064AAA,NODX,64,N16,FutOnly
ISONE..H.INTERNAL_HUB_month_off_dap - NODAL EXCHANGE,210803,2021-08-03,064AAB,NODX,1,64,68754,50449,39583,8600,17986,1359,0,3646,60,2190,0,0,62658,62634,6096,6120,68754,50449,39583,8600,17986,1359,0,3646,60,2190,0,0,62658,62634,6096,6120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,640,640,0,0,0,0,0,0,0,0,0,640,640,100,100,100,73.4,57.6,12.5,26.2,2,0,5.3,0.1,3.2,0,0,91.1,91.1,8.9,8.9,100,73.4,57.6,12.5,26.2,2,0,5.3,0.1,3.2,0,0,91.1,91.1,8.9,8.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,13,.,4,.,0,.,.,.,0,0,21,18,24,16,13,.,4,.,0,.,.,.,0,0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3,62.7,84.5,81.9,72.4,62.1,78.9,78.5,75.3,62.7,84.5,81.9,72.4,62.1,78.9,78.5,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064AAB,NODX,64,N16,FutOnly
NYISO.CENTRL_month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064CTQ,NODX,1,64,14838,10660,6655,155,7353,412,2840,0,150,0,0,0,14217,14570,621,268,14838,10660,6655,155,7353,412,2840,0,150,0,0,0,14217,14570,621,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,50,195,75,50,-50,0,0,0,0,0,0,75,195,0,-120,100,71.8,44.9,1,49.6,2.8,19.1,0,1,0,0,0,95.8,98.2,4.2,1.8,100,71.8,44.9,1,49.6,2.8,19.1,0,1,0,0,0,95.8,98.2,4.2,1.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,10,.,.,.,.,0,.,0,0,0,14,14,21,9,10,.,.,.,.,0,.,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3,81.6,85.3,94.7,68.1,78.5,81.2,90.1,69.3,81.6,85.3,94.7,68.1,78.5,81.2,90.1,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064CTQ,NODX,64,N16,FutOnly
NYISO.HUD VL_month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064CXO,NODX,1,64,39828,22047,17503,7898,12046,512,4360,4064,1260,22,594,540,36639,36519,3189,3309,39828,22047,17503,7898,12046,512,4360,4064,1260,22,594,540,36639,36519,3189,3309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,-329,126,155,-300,20,0,0,0,0,0,0,-154,-154,100,100,100,55.4,43.9,19.8,30.2,1.3,10.9,10.2,3.2,0.1,1.5,1.4,92,91.7,8,8.3,100,55.4,43.9,19.8,30.2,1.3,10.9,10.2,3.2,0.1,1.5,1.4,92,91.7,8,8.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,16,16,.,.,.,.,.,.,.,.,.,22,25,31,16,16,.,.,.,.,.,.,.,.,.,22,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,58.1,68.4,74.9,37.4,49.5,53.6,63.3,44,58.1,68.4,74.9,37.4,49.5,53.6,63.3,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064CXO,NODX,64,N16,FutOnly
NYISO.HUD VL_month_off_dap - NODAL EXCHANGE,210803,2021-08-03,064CXP,NODX,1,64,28920,16234,12578,8786,5820,384,250,6050,720,6,728,330,26710,26610,2210,2310,28920,16234,12578,8786,5820,384,250,6050,720,6,728,330,26710,26610,2210,2310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,-145,575,420,-300,0,0,0,0,0,0,0,275,275,25,25,100,56.1,43.5,30.4,20.1,1.3,0.9,20.9,2.5,0,2.5,1.1,92.4,92,7.6,8,100,56.1,43.5,30.4,20.1,1.3,0.9,20.9,2.5,0,2.5,1.1,92.4,92,7.6,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,13,12,4,.,.,.,.,.,.,.,.,20,18,26,13,12,4,.,.,.,.,.,.,.,.,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.7,57.5,75.4,80.2,51.2,51,63.5,64.7,55.7,57.5,75.4,80.2,51.2,51,63.5,64.7,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064CXP,NODX,64,N16,FutOnly
NYISO.N.Y.C._month_on_dap - NODAL EXCHANGE,210803,2021-08-03,064CZS,NODX,1,64,22117,14604,9542,3462,3138,987,0,5826,0,110,0,0,19163,19493,2954,2624,22117,14604,9542,3462,3138,987,0,5826,0,110,0,0,19163,19493,2954,2624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,66,43.1,15.7,14.2,4.5,0,26.3,0,0.5,0,0,86.6,88.1,13.4,11.9,100,66,43.1,15.7,14.2,4.5,0,26.3,0,0.5,0,0,86.6,88.1,13.4,11.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,8,.,.,.,0,.,0,.,0,0,16,12,21,12,8,.,.,.,0,.,0,.,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.2,75.1,76.6,84.9,54.7,71.9,68.5,75.3,58.2,75.1,76.6,84.9,54.7,71.9,68.5,75.3,0,0,0,0,0,0,0,0,Megawatt Hours (MWh),064CZS,NODX,64,N16,FutOnly
